Chr	Position	ModStatus	Status
18s	180	Unm	Unm
18s	181	Unm	Unm
18s	182	Unm	Unm
18s	183	Unm	Unm
18s	184	Unm	Unm
18s	185	Unm	Unm
18s	186	Unm	Unm
18s	187	Unm	Unm
18s	188	Unm	Unm
18s	189	Unm	Unm
18s	190	Unm	Unm
18s	191	Unm	Unm
18s	192	Unm	Unm
18s	193	Unm	Unm
18s	194	Unm	Unm
18s	195	Unm	Unm
18s	196	Unm	Unm
18s	197	Unm	Unm
18s	198	Unm	Unm
18s	199	Unm	Unm
18s	200	Unm	Unm
18s	201	Unm	Unm
18s	202	Unm	Unm
18s	203	Unm	Unm
18s	204	Unm	Unm
18s	205	Unm	Unm
18s	206	Unm	Unm
18s	207	Unm	Unm
18s	208	Unm	Unm
18s	209	Unm	NA
18s	210	Unm	NA
18s	211	Y	Y
18s	212	Unm	NA
18s	213	Unm	NA
18s	214	Unm	Unm
18s	215	Unm	Unm
18s	216	Unm	Unm
18s	217	Unm	Unm
18s	218	Unm	Unm
18s	219	Unm	Unm
18s	220	Unm	Unm
18s	221	Unm	Unm
18s	222	Unm	Unm
18s	223	Unm	Unm
18s	224	Unm	Unm
18s	225	Unm	Unm
18s	226	Unm	Unm
18s	227	Unm	Unm
18s	228	Unm	Unm
18s	229	Unm	Unm
18s	230	Unm	Unm
18s	231	Unm	Unm
18s	232	Unm	Unm
18s	233	Unm	Unm
18s	234	Unm	Unm
18s	235	Unm	Unm
18s	236	Unm	Unm
18s	237	Unm	Unm
18s	238	Unm	Unm
18s	239	Unm	Unm
18s	240	Unm	Unm
18s	241	Unm	Unm
18s	242	Unm	Unm
18s	243	Unm	Unm
18s	244	Unm	Unm
18s	245	Unm	Unm
18s	246	Unm	Unm
18s	247	Unm	Unm
18s	248	Unm	Unm
18s	249	Unm	Unm
18s	250	Unm	Unm
18s	251	Unm	Unm
18s	252	Unm	Unm
18s	253	Unm	Unm
18s	254	Unm	Unm
18s	255	Unm	Unm
18s	256	Unm	Unm
18s	257	Unm	Unm
18s	258	Unm	Unm
18s	259	Unm	Unm
18s	260	Unm	Unm
18s	261	Unm	Unm
18s	262	Unm	Unm
18s	263	Unm	Unm
18s	264	Unm	Unm
18s	265	Unm	Unm
18s	266	Unm	Unm
18s	267	Unm	Unm
18s	268	Unm	Unm
18s	269	Unm	Unm
18s	270	Unm	Unm
18s	271	Unm	Unm
18s	272	Unm	Unm
18s	273	Unm	Unm
18s	274	Unm	Unm
18s	275	Unm	Unm
18s	276	Unm	Unm
18s	277	Unm	Unm
18s	278	Unm	Unm
18s	279	Unm	Unm
18s	280	Unm	Unm
18s	281	Unm	Unm
18s	282	Unm	Unm
18s	283	Unm	Unm
18s	284	Unm	Unm
18s	285	Unm	Unm
18s	286	Unm	Unm
18s	287	Unm	Unm
18s	288	Unm	Unm
18s	289	Unm	Unm
18s	290	Unm	Unm
18s	291	Unm	Unm
18s	292	Unm	Unm
18s	293	Unm	Unm
18s	294	Unm	Unm
18s	295	Unm	Unm
18s	296	Unm	Unm
18s	297	Unm	Unm
18s	298	Unm	Unm
18s	299	Unm	Unm
18s	300	Unm	NA
18s	301	Unm	NA
18s	302	Y	Y
18s	303	Unm	NA
18s	304	Unm	NA
18s	305	Unm	Unm
18s	306	Unm	Unm
18s	307	Unm	Unm
18s	308	Unm	Unm
18s	309	Unm	Unm
18s	310	Unm	Unm
18s	311	Unm	Unm
18s	312	Unm	Unm
18s	313	Unm	Unm
18s	314	Unm	Unm
18s	315	Unm	Unm
18s	316	Unm	Unm
18s	317	Unm	Unm
18s	318	Unm	Unm
18s	319	Unm	Unm
18s	320	Unm	Unm
18s	321	Unm	Unm
18s	322	Unm	Unm
18s	323	Unm	Unm
18s	324	Unm	Unm
18s	325	Unm	Unm
18s	326	Unm	Unm
18s	327	Unm	Unm
18s	328	Unm	Unm
18s	329	Unm	Unm
18s	330	Unm	Unm
18s	331	Unm	Unm
18s	332	Unm	Unm
18s	333	Unm	Unm
18s	334	Unm	Unm
18s	335	Unm	Unm
18s	336	Unm	Unm
18s	337	Unm	Unm
18s	338	Unm	Unm
18s	339	Unm	Unm
18s	340	Unm	Unm
18s	341	Unm	Unm
18s	342	Unm	Unm
18s	343	Unm	Unm
18s	344	Unm	Unm
18s	345	Unm	Unm
18s	346	Unm	Unm
18s	347	Unm	Unm
18s	348	Unm	Unm
18s	349	Unm	Unm
18s	350	Unm	Unm
18s	351	Unm	Unm
18s	352	Unm	Unm
18s	353	Unm	Unm
18s	354	Unm	Unm
18s	355	Unm	Unm
18s	356	Unm	Unm
18s	357	Unm	Unm
18s	358	Unm	Unm
18s	359	Unm	Unm
18s	360	Unm	Unm
18s	361	Unm	Unm
18s	362	Unm	Unm
18s	363	Unm	Unm
18s	364	Unm	Unm
18s	365	Unm	Unm
18s	366	Unm	Unm
18s	367	Unm	Unm
18s	368	Unm	Unm
18s	369	Unm	Unm
18s	370	Unm	Unm
18s	371	Unm	Unm
18s	372	Unm	Unm
18s	373	Unm	Unm
18s	374	Unm	Unm
18s	375	Unm	Unm
18s	376	Unm	Unm
18s	377	Unm	Unm
18s	378	Unm	Unm
18s	379	Unm	Unm
18s	380	Unm	Unm
18s	381	Unm	Unm
18s	382	Unm	Unm
18s	383	Unm	Unm
18s	384	Unm	Unm
18s	385	Unm	Unm
18s	386	Unm	Unm
18s	387	Unm	Unm
18s	388	Unm	Unm
18s	389	Unm	Unm
18s	390	Unm	Unm
18s	391	Unm	Unm
18s	392	Unm	Unm
18s	393	Unm	Unm
18s	394	Unm	Unm
18s	395	Unm	Unm
18s	396	Unm	Unm
18s	397	Unm	Unm
18s	398	Unm	Unm
18s	399	Unm	Unm
18s	400	Unm	Unm
18s	401	Unm	Unm
18s	402	Unm	Unm
18s	403	Unm	Unm
18s	404	Unm	Unm
18s	405	Unm	Unm
18s	406	Unm	Unm
18s	407	Unm	Unm
18s	408	Unm	Unm
18s	409	Unm	Unm
18s	410	Unm	Unm
18s	411	Unm	Unm
18s	412	Unm	NA
18s	413	Unm	NA
18s	414	Cm	Cm
18s	415	Unm	NA
18s	416	Unm	NA
18s	417	Unm	Unm
18s	418	Unm	NA
18s	419	Unm	NA
18s	420	Am	Am
18s	421	Unm	NA
18s	422	Unm	NA
18s	423	Unm	Unm
18s	424	Unm	Unm
18s	425	Unm	Unm
18s	426	Unm	Unm
18s	427	Unm	Unm
18s	428	Unm	Unm
18s	429	Unm	Unm
18s	430	Unm	Unm
18s	431	Unm	Unm
18s	432	Unm	Unm
18s	433	Unm	Unm
18s	434	Unm	NA
18s	435	Unm	NA
18s	436	Am	Am
18s	437	Unm	NA
18s	438	Unm	NA
18s	439	Unm	Unm
18s	440	Unm	Unm
18s	441	Unm	Unm
18s	442	Unm	Unm
18s	443	Unm	Unm
18s	444	Unm	Unm
18s	445	Unm	Unm
18s	446	Unm	Unm
18s	447	Unm	Unm
18s	448	Unm	Unm
18s	449	Unm	Unm
18s	450	Unm	Unm
18s	451	Unm	Unm
18s	452	Unm	Unm
18s	453	Unm	Unm
18s	454	Unm	Unm
18s	455	Unm	Unm
18s	456	Unm	Unm
18s	457	Unm	Unm
18s	458	Unm	Unm
18s	459	Unm	Unm
18s	460	Unm	Unm
18s	461	Unm	Unm
18s	462	Unm	Unm
18s	463	Unm	Unm
18s	464	Unm	NA
18s	465	Unm	NA
18s	466	Y	Y
18s	467	Unm	NA
18s	468	Unm	NA
18s	469	Unm	Unm
18s	470	Unm	Unm
18s	471	Unm	Unm
18s	472	Unm	Unm
18s	473	Unm	Unm
18s	474	Unm	Unm
18s	475	Unm	Unm
18s	476	Unm	Unm
18s	477	Unm	Unm
18s	478	Unm	Unm
18s	479	Unm	Unm
18s	480	Unm	Unm
18s	481	Unm	Unm
18s	482	Unm	Unm
18s	483	Unm	Unm
18s	484	Unm	Unm
18s	485	Unm	Unm
18s	486	Unm	Unm
18s	487	Unm	Unm
18s	488	Unm	Unm
18s	489	Unm	Unm
18s	490	Unm	Unm
18s	491	Unm	Unm
18s	492	Unm	Unm
18s	493	Unm	Unm
18s	494	Unm	Unm
18s	495	Unm	Unm
18s	496	Unm	Unm
18s	497	Unm	Unm
18s	498	Unm	Unm
18s	499	Unm	Unm
18s	500	Unm	Unm
18s	501	Unm	Unm
18s	502	Unm	Unm
18s	503	Unm	Unm
18s	504	Unm	Unm
18s	505	Unm	Unm
18s	506	Unm	Unm
18s	507	Unm	Unm
18s	508	Unm	Unm
18s	509	Unm	Unm
18s	510	Unm	Unm
18s	511	Unm	Unm
18s	512	Unm	Unm
18s	513	Unm	Unm
18s	514	Unm	Unm
18s	515	Unm	Unm
18s	516	Unm	Unm
18s	517	Unm	Unm
18s	518	Unm	Unm
18s	519	Unm	Unm
18s	520	Unm	Unm
18s	521	Unm	Unm
18s	522	Unm	Unm
18s	523	Unm	Unm
18s	524	Unm	Unm
18s	525	Unm	Unm
18s	526	Unm	Unm
18s	527	Unm	Unm
18s	528	Unm	Unm
18s	529	Unm	Unm
18s	530	Unm	Unm
18s	531	Unm	Unm
18s	532	Unm	Unm
18s	533	Unm	Unm
18s	534	Unm	Unm
18s	535	Unm	Unm
18s	536	Unm	Unm
18s	537	Unm	Unm
18s	538	Unm	Unm
18s	539	Unm	NA
18s	540	Unm	NA
18s	541	Am	Am
18s	542	Unm	NA
18s	543	Unm	NA
18s	544	Unm	Unm
18s	545	Unm	Unm
18s	546	Unm	Unm
18s	547	Unm	Unm
18s	548	Unm	Unm
18s	549	Unm	Unm
18s	550	Unm	Unm
18s	551	Unm	Unm
18s	552	Unm	Unm
18s	553	Unm	Unm
18s	554	Unm	Unm
18s	555	Unm	Unm
18s	556	Unm	Unm
18s	557	Unm	Unm
18s	558	Unm	Unm
18s	559	Unm	Unm
18s	560	Unm	NA
18s	561	Unm	NA
18s	562	Gm	Gm
18s	563	Unm	NA
18s	564	Unm	NA
18s	565	Unm	Unm
18s	566	Unm	Unm
18s	567	Unm	Unm
18s	568	Unm	Unm
18s	569	Unm	Unm
18s	570	Unm	Unm
18s	571	Unm	Unm
18s	572	Unm	Unm
18s	573	Unm	Unm
18s	574	Unm	Unm
18s	575	Unm	Unm
18s	576	Unm	NA
18s	577	Unm	NA
18s	578	Um	Um
18s	579	Unm	NA
18s	580	Unm	NA
18s	581	Unm	Unm
18s	582	Unm	Unm
18s	583	Unm	Unm
18s	584	Unm	Unm
18s	585	Unm	Unm
18s	586	Unm	Unm
18s	587	Unm	Unm
18s	588	Unm	Unm
18s	589	Unm	Unm
18s	590	Unm	Unm
18s	591	Unm	Unm
18s	592	Unm	Unm
18s	593	Unm	Unm
18s	594	Unm	Unm
18s	595	Unm	Unm
18s	596	Unm	Unm
18s	597	Unm	Unm
18s	598	Unm	Unm
18s	599	Unm	Unm
18s	600	Unm	Unm
18s	601	Unm	Unm
18s	602	Unm	Unm
18s	603	Unm	Unm
18s	604	Unm	Unm
18s	605	Unm	Unm
18s	606	Unm	Unm
18s	607	Unm	Unm
18s	608	Unm	Unm
18s	609	Unm	Unm
18s	610	Unm	Unm
18s	611	Unm	Unm
18s	612	Unm	Unm
18s	613	Unm	Unm
18s	614	Unm	Unm
18s	615	Unm	Unm
18s	616	Unm	Unm
18s	617	Unm	NA
18s	618	Unm	NA
18s	619	Am	Am
18s	620	Unm	NA
18s	621	Unm	NA
18s	622	Unm	Unm
18s	623	Unm	Unm
18s	624	Unm	Unm
18s	625	Unm	Unm
18s	626	Unm	Unm
18s	627	Unm	Unm
18s	628	Unm	Unm
18s	629	Unm	Unm
18s	630	Unm	NA
18s	631	Unm	NA
18s	632	Y	Y
18s	633	Unm	NA
18s	634	Unm	NA
18s	635	Unm	Unm
18s	636	Unm	Unm
18s	637	Unm	Unm
18s	638	Unm	Unm
18s	639	Unm	Unm
18s	640	Unm	Unm
18s	641	Unm	Unm
18s	642	Unm	Unm
18s	643	Unm	Unm
18s	644	Unm	Unm
18s	645	Unm	Unm
18s	646	Unm	Unm
18s	647	Unm	Unm
18s	648	Unm	Unm
18s	649	Unm	Unm
18s	650	Unm	Unm
18s	651	Unm	Unm
18s	652	Unm	Unm
18s	653	Unm	Unm
18s	654	Unm	Unm
18s	655	Unm	Unm
18s	656	Unm	Unm
18s	657	Unm	Unm
18s	658	Unm	Unm
18s	659	Unm	Unm
18s	660	Unm	Unm
18s	661	Unm	Unm
18s	662	Unm	Unm
18s	663	Unm	Unm
18s	664	Unm	Unm
18s	665	Unm	Unm
18s	666	Unm	Unm
18s	667	Unm	Unm
18s	668	Unm	Unm
18s	669	Unm	Unm
18s	670	Unm	Unm
18s	671	Unm	Unm
18s	672	Unm	Unm
18s	673	Unm	Unm
18s	674	Unm	Unm
18s	675	Unm	Unm
18s	676	Unm	Unm
18s	677	Unm	Unm
18s	678	Unm	Unm
18s	679	Unm	Unm
18s	680	Unm	Unm
18s	681	Unm	Unm
18s	682	Unm	Unm
18s	683	Unm	Unm
18s	684	Unm	Unm
18s	685	Unm	Unm
18s	686	Unm	Unm
18s	687	Unm	Unm
18s	688	Unm	Unm
18s	689	Unm	Unm
18s	690	Unm	Unm
18s	691	Unm	Unm
18s	692	Unm	Unm
18s	693	Unm	Unm
18s	694	Unm	Unm
18s	695	Unm	Unm
18s	696	Unm	Unm
18s	697	Unm	Unm
18s	698	Unm	Unm
18s	699	Unm	Unm
18s	700	Unm	Unm
18s	701	Unm	Unm
18s	702	Unm	Unm
18s	703	Unm	Unm
18s	704	Unm	Unm
18s	705	Unm	Unm
18s	706	Unm	Unm
18s	707	Unm	Unm
18s	708	Unm	Unm
18s	709	Unm	Unm
18s	710	Unm	Unm
18s	711	Unm	Unm
18s	712	Unm	Unm
18s	713	Unm	Unm
18s	714	Unm	Unm
18s	715	Unm	Unm
18s	716	Unm	Unm
18s	717	Unm	Unm
18s	718	Unm	Unm
18s	719	Unm	Unm
18s	720	Unm	Unm
18s	721	Unm	Unm
18s	722	Unm	Unm
18s	723	Unm	Unm
18s	724	Unm	Unm
18s	725	Unm	Unm
18s	726	Unm	Unm
18s	727	Unm	Unm
18s	728	Unm	Unm
18s	729	Unm	Unm
18s	730	Unm	Unm
18s	731	Unm	Unm
18s	732	Unm	Unm
18s	733	Unm	Unm
18s	734	Unm	Unm
18s	735	Unm	Unm
18s	736	Unm	Unm
18s	737	Unm	Unm
18s	738	Unm	Unm
18s	739	Unm	Unm
18s	740	Unm	Unm
18s	741	Unm	Unm
18s	742	Unm	Unm
18s	743	Unm	Unm
18s	744	Unm	Unm
18s	745	Unm	Unm
18s	746	Unm	Unm
18s	747	Unm	Unm
18s	748	Unm	Unm
18s	749	Unm	Unm
18s	750	Unm	Unm
18s	751	Unm	Unm
18s	752	Unm	Unm
18s	753	Unm	Unm
18s	754	Unm	Unm
18s	755	Unm	Unm
18s	756	Unm	Unm
18s	757	Unm	NA
18s	758	Unm	NA
18s	759	Y	Y
18s	760	Unm	NA
18s	761	Unm	NA
18s	762	Unm	Unm
18s	763	Unm	Unm
18s	764	Unm	NA
18s	765	Unm	NA
18s	766	Y	Y
18s	767	Unm	NA
18s	768	Unm	NA
18s	769	Unm	Unm
18s	770	Unm	Unm
18s	771	Unm	Unm
18s	772	Unm	Unm
18s	773	Unm	Unm
18s	774	Unm	Unm
18s	775	Unm	Unm
18s	776	Unm	Unm
18s	777	Unm	Unm
18s	778	Unm	Unm
18s	779	Unm	Unm
18s	780	Unm	Unm
18s	781	Unm	Unm
18s	782	Unm	Unm
18s	783	Unm	Unm
18s	784	Unm	Unm
18s	785	Unm	Unm
18s	786	Unm	Unm
18s	787	Unm	Unm
18s	788	Unm	Unm
18s	789	Unm	Unm
18s	790	Unm	Unm
18s	791	Unm	Unm
18s	792	Unm	Unm
18s	793	Unm	Unm
18s	794	Unm	NA
18s	795	Unm	NA
18s	796	Am	Am
18s	797	Unm	NA
18s	798	Unm	NA
18s	799	Unm	Unm
18s	800	Unm	Unm
18s	801	Unm	Unm
18s	802	Unm	Unm
18s	803	Unm	Unm
18s	804	Unm	Unm
18s	805	Unm	Unm
18s	806	Unm	Unm
18s	807	Unm	Unm
18s	808	Unm	Unm
18s	809	Unm	Unm
18s	810	Unm	Unm
18s	811	Unm	Unm
18s	812	Unm	Unm
18s	813	Unm	Unm
18s	814	Unm	Unm
18s	815	Unm	Unm
18s	816	Unm	Unm
18s	817	Unm	Unm
18s	818	Unm	Unm
18s	819	Unm	Unm
18s	820	Unm	Unm
18s	821	Unm	Unm
18s	822	Unm	Unm
18s	823	Unm	Unm
18s	824	Unm	Unm
18s	825	Unm	Unm
18s	826	Unm	Unm
18s	827	Unm	Unm
18s	828	Unm	Unm
18s	829	Unm	Unm
18s	830	Unm	Unm
18s	831	Unm	Unm
18s	832	Unm	Unm
18s	833	Unm	Unm
18s	834	Unm	Unm
18s	835	Unm	Unm
18s	836	Unm	Unm
18s	837	Unm	Unm
18s	838	Unm	Unm
18s	839	Unm	Unm
18s	840	Unm	Unm
18s	841	Unm	Unm
18s	842	Unm	Unm
18s	843	Unm	Unm
18s	844	Unm	Unm
18s	845	Unm	Unm
18s	846	Unm	Unm
18s	847	Unm	Unm
18s	848	Unm	Unm
18s	849	Unm	Unm
18s	850	Unm	Unm
18s	851	Unm	Unm
18s	852	Unm	Unm
18s	853	Unm	Unm
18s	854	Unm	Unm
18s	855	Unm	Unm
18s	856	Unm	Unm
18s	857	Unm	Unm
18s	858	Unm	Unm
18s	859	Unm	Unm
18s	860	Unm	Unm
18s	861	Unm	Unm
18s	862	Unm	Unm
18s	863	Unm	Unm
18s	864	Unm	Unm
18s	865	Unm	Unm
18s	866	Unm	Unm
18s	867	Unm	Unm
18s	868	Unm	Unm
18s	869	Unm	Unm
18s	870	Unm	Unm
18s	871	Unm	Unm
18s	872	Unm	Unm
18s	873	Unm	Unm
18s	874	Unm	Unm
18s	875	Unm	Unm
18s	876	Unm	Unm
18s	877	Unm	Unm
18s	878	Unm	Unm
18s	879	Unm	Unm
18s	880	Unm	Unm
18s	881	Unm	Unm
18s	882	Unm	Unm
18s	883	Unm	Unm
18s	884	Unm	Unm
18s	885	Unm	Unm
18s	886	Unm	Unm
18s	887	Unm	Unm
18s	888	Unm	Unm
18s	889	Unm	Unm
18s	890	Unm	Unm
18s	891	Unm	Unm
18s	892	Unm	Unm
18s	893	Unm	Unm
18s	894	Unm	Unm
18s	895	Unm	Unm
18s	896	Unm	Unm
18s	897	Unm	Unm
18s	898	Unm	Unm
18s	899	Unm	Unm
18s	900	Unm	Unm
18s	901	Unm	Unm
18s	902	Unm	Unm
18s	903	Unm	Unm
18s	904	Unm	Unm
18s	905	Unm	Unm
18s	906	Unm	Unm
18s	907	Unm	Unm
18s	908	Unm	Unm
18s	909	Unm	Unm
18s	910	Unm	Unm
18s	911	Unm	Unm
18s	912	Unm	Unm
18s	913	Unm	Unm
18s	914	Unm	Unm
18s	915	Unm	Unm
18s	916	Unm	Unm
18s	917	Unm	Unm
18s	918	Unm	Unm
18s	919	Unm	Unm
18s	920	Unm	Unm
18s	921	Unm	Unm
18s	922	Unm	Unm
18s	923	Unm	Unm
18s	924	Unm	Unm
18s	925	Unm	Unm
18s	926	Unm	Unm
18s	927	Unm	Unm
18s	928	Unm	Unm
18s	929	Unm	Unm
18s	930	Unm	Unm
18s	931	Unm	Unm
18s	932	Unm	Unm
18s	933	Unm	Unm
18s	934	Unm	Unm
18s	935	Unm	Unm
18s	936	Unm	Unm
18s	937	Unm	Unm
18s	938	Unm	Unm
18s	939	Unm	Unm
18s	940	Unm	Unm
18s	941	Unm	Unm
18s	942	Unm	Unm
18s	943	Unm	Unm
18s	944	Unm	Unm
18s	945	Unm	Unm
18s	946	Unm	Unm
18s	947	Unm	Unm
18s	948	Unm	Unm
18s	949	Unm	Unm
18s	950	Unm	Unm
18s	951	Unm	Unm
18s	952	Unm	Unm
18s	953	Unm	Unm
18s	954	Unm	Unm
18s	955	Unm	Unm
18s	956	Unm	Unm
18s	957	Unm	Unm
18s	958	Unm	Unm
18s	959	Unm	Unm
18s	960	Unm	Unm
18s	961	Unm	Unm
18s	962	Unm	Unm
18s	963	Unm	Unm
18s	964	Unm	Unm
18s	965	Unm	Unm
18s	966	Unm	Unm
18s	967	Unm	Unm
18s	968	Unm	Unm
18s	969	Unm	Unm
18s	970	Unm	Unm
18s	971	Unm	Unm
18s	972	Unm	NA
18s	973	Unm	NA
18s	974	Am	Am
18s	975	Unm	NA
18s	976	Unm	NA
18s	977	Unm	Unm
18s	978	Unm	Unm
18s	979	Unm	Unm
18s	980	Unm	Unm
18s	981	Unm	Unm
18s	982	Unm	Unm
18s	983	Unm	Unm
18s	984	Unm	Unm
18s	985	Unm	Unm
18s	986	Unm	Unm
18s	987	Unm	Unm
18s	988	Unm	Unm
18s	989	Unm	Unm
18s	990	Unm	Unm
18s	991	Unm	Unm
18s	992	Unm	Unm
18s	993	Unm	Unm
18s	994	Unm	Unm
18s	995	Unm	Unm
18s	996	Unm	Unm
18s	997	Unm	NA
18s	998	Unm	NA
18s	999	Y	Y
18s	1000	Unm	NA
18s	1001	Unm	NA
18s	1002	Unm	Unm
18s	1003	Unm	Unm
18s	1004	Unm	Unm
18s	1005	Unm	NA
18s	1006	Unm	NA
18s	1007	Cm	Cm
18s	1008	Unm	NA
18s	1009	Unm	NA
18s	1010	Unm	Unm
18s	1011	Unm	Unm
18s	1012	Unm	Unm
18s	1013	Unm	Unm
18s	1014	Unm	Unm
18s	1015	Unm	Unm
18s	1016	Unm	Unm
18s	1017	Unm	Unm
18s	1018	Unm	Unm
18s	1019	Unm	Unm
18s	1020	Unm	Unm
18s	1021	Unm	Unm
18s	1022	Unm	Unm
18s	1023	Unm	Unm
18s	1024	Unm	Unm
18s	1025	Unm	Unm
18s	1026	Unm	Unm
18s	1027	Unm	Unm
18s	1028	Unm	Unm
18s	1029	Unm	Unm
18s	1030	Unm	Unm
18s	1031	Unm	Unm
18s	1032	Unm	Unm
18s	1033	Unm	Unm
18s	1034	Unm	Unm
18s	1035	Unm	Unm
18s	1036	Unm	Unm
18s	1037	Unm	Unm
18s	1038	Unm	Unm
18s	1039	Unm	Unm
18s	1040	Unm	Unm
18s	1041	Unm	Unm
18s	1042	Unm	Unm
18s	1043	Unm	Unm
18s	1044	Unm	Unm
18s	1045	Unm	Unm
18s	1046	Unm	Unm
18s	1047	Unm	Unm
18s	1048	Unm	Unm
18s	1049	Unm	Unm
18s	1050	Unm	Unm
18s	1051	Unm	Unm
18s	1052	Unm	Unm
18s	1053	Unm	Unm
18s	1054	Unm	Unm
18s	1055	Unm	Unm
18s	1056	Unm	Unm
18s	1057	Unm	Unm
18s	1058	Unm	Unm
18s	1059	Unm	Unm
18s	1060	Unm	Unm
18s	1061	Unm	Unm
18s	1062	Unm	Unm
18s	1063	Unm	Unm
18s	1064	Unm	Unm
18s	1065	Unm	Unm
18s	1066	Unm	Unm
18s	1067	Unm	Unm
18s	1068	Unm	Unm
18s	1069	Unm	Unm
18s	1070	Unm	Unm
18s	1071	Unm	Unm
18s	1072	Unm	Unm
18s	1073	Unm	Unm
18s	1074	Unm	Unm
18s	1075	Unm	Unm
18s	1076	Unm	Unm
18s	1077	Unm	Unm
